Designator,Mid X,Mid Y,Rotation,Layer
C1,49.805,7.455,270.0,top
C10,-4.295,6.63,270.0,top
C11,-10.97,6.555,270.0,top
C2,11.1425,12.655,180.0,top
C3,11.0925,10.53,0.0,top
C4,43.08,7.505,270.0,top
C5,47.58,7.38,270.0,top
C6,33.805,7.23,270.0,top
C7,31.58,7.155,270.0,top
C8,14.48,6.83,270.0,top
C9,-2.045,6.68,270.0,top
D1,-16.376,15.2676,180.0,top
D2,-16.2825,-0.42,0.0,top
J1,-26.205,4.155,270.0,top
J2,48.605,-4.48,0.0,top
J3,30.055,-4.47,0.0,top
J4,11.43,-4.41,0.0,top
J5,-7.17,-4.395,0.0,top
R1,-16.511,12.0776,180.0,top
R10,-8.695,6.63,90.0,top
R11,-14.62,3.03,90.0,top
R2,-16.495,9.055,0.0,top
R3,45.355,7.43,270.0,top
R4,52.155,7.405,90.0,top
R5,29.355,7.23,270.0,top
R6,27.18,7.305,90.0,top
R7,12.255,6.88,270.0,top
R8,10.205,6.805,90.0,top
R9,-6.52,6.555,270.0,top
U1,20.455,11.13,180.0,top
