Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C5, C7, C9",0805,5,100nF,
"C10, C4, C6, C8",0805,4,1uF,
"C2, C3",0805,2,10uF,
D1,1206,1,SD1206T020S1R0,
D2,1206,1,LED_Small,
"H1, H2",MountingHole_3.2mm_M3_ISO14580,2,MountingHole,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"J2, J3, J4, J5",USB_C_Plug_UTC009-C12,4,USB_C_Receptacle_USB2.0,
"R1, R2",0805,2,5.1K,
"R10, R3, R4, R5, R6, R7, R8, R9",0805,8,56K,
R11,0805,1,100,
U1,SOIC-16_4.55x10.3mm_P1.27mm,1,SL2.1A,
